Frequency - Plot 0	Amplitude - Plot 0
539	5.37E-06
540	4.99E-06
540	4.88E-06
541	4.58E-06
541	4.57E-06
542	4.57E-06
542	4.27E-06
543	4.34E-06
543	4.07E-06
544	4.11E-06
544	4.08E-06
545	4.05E-06
545	3.90E-06
546	3.99E-06
546	3.84E-06
547	3.78E-06
547	3.71E-06
548	3.58E-06
548	3.59E-06
549	3.71E-06
549	3.57E-06
550	3.49E-06
550	3.46E-06
551	3.53E-06
551	3.40E-06
552	3.41E-06
552	3.43E-06
553	3.46E-06
553	3.37E-06
554	3.33E-06
554	3.31E-06
555	3.35E-06
556	3.33E-06
556	3.33E-06
557	3.23E-06
557	3.16E-06
558	3.26E-06
558	3.16E-06
559	3.12E-06
559	3.03E-06
560	2.93E-06
560	2.84E-06
561	2.86E-06
561	2.80E-06
562	2.78E-06
562	2.98E-06
563	2.85E-06
563	2.77E-06
564	2.72E-06
564	2.63E-06
565	2.68E-06
565	2.63E-06
566	2.67E-06
566	2.74E-06
567	2.61E-06
567	2.65E-06
568	2.56E-06
568	2.51E-06
569	2.63E-06
569	2.57E-06
570	2.49E-06
570	2.57E-06
571	2.53E-06
571	2.49E-06
572	2.55E-06
572	2.49E-06
573	2.50E-06
573	2.32E-06
574	2.46E-06
574	2.24E-06
575	2.27E-06
575	2.30E-06
576	2.18E-06
577	2.17E-06
577	2.20E-06
578	2.16E-06
578	2.07E-06
579	2.20E-06
579	2.11E-06
580	1.98E-06
580	2.12E-06
581	2.07E-06
581	2.13E-06
582	1.93E-06
582	2.06E-06
583	1.90E-06
583	2.04E-06
584	1.99E-06
584	1.89E-06
585	1.98E-06
585	1.91E-06
586	1.87E-06
586	1.92E-06
587	1.87E-06
587	1.76E-06
588	1.83E-06
588	1.84E-06
589	1.77E-06
589	1.72E-06
590	1.80E-06
590	1.72E-06
591	1.74E-06
591	1.70E-06
592	1.68E-06
592	1.76E-06
593	1.79E-06
593	1.74E-06
594	1.80E-06
594	1.82E-06
595	1.87E-06
595	1.83E-06
596	1.98E-06
596	1.95E-06
597	1.96E-06
598	1.95E-06
598	1.97E-06
599	1.98E-06
599	1.97E-06
600	1.96E-06
600	2.06E-06
601	2.11E-06
601	2.11E-06
602	2.17E-06
602	2.13E-06
603	2.27E-06
603	2.22E-06
604	2.29E-06
604	2.32E-06
605	2.25E-06
605	2.41E-06
606	2.43E-06
606	2.43E-06
607	2.56E-06
607	2.73E-06
608	2.89E-06
608	2.97E-06
609	3.22E-06
609	3.27E-06
610	3.45E-06
610	3.73E-06
611	4.10E-06
611	4.56E-06
612	5.00E-06
612	5.54E-06
613	6.17E-06
613	6.76E-06
614	7.67E-06
614	8.37E-06
615	9.30E-06
615	1.04E-05
616	1.09E-05
616	1.19E-05
617	1.29E-05
617	1.39E-05
618	1.48E-05
618	1.59E-05
619	1.66E-05
620	1.72E-05
620	1.83E-05
621	1.93E-05
621	1.97E-05
622	2.03E-05
622	2.13E-05
623	2.18E-05
623	2.22E-05
624	2.30E-05
624	2.38E-05
625	2.38E-05
625	2.43E-05
626	2.48E-05
626	2.50E-05
627	2.53E-05
627	2.55E-05
628	2.58E-05
628	2.59E-05
629	2.58E-05
629	2.55E-05
630	2.49E-05
630	2.50E-05
631	2.44E-05
631	2.34E-05
632	2.25E-05
632	2.11E-05
633	2.00E-05
633	1.87E-05
634	1.71E-05
634	1.51E-05
635	1.41E-05
635	1.22E-05
636	1.05E-05
636	8.88E-06
637	7.96E-06
637	6.64E-06
638	5.77E-06
638	4.79E-06
639	4.21E-06
639	3.66E-06
640	3.26E-06
641	2.88E-06
641	2.52E-06
642	2.36E-06
642	2.24E-06
643	1.95E-06
643	2.10E-06
644	1.82E-06
644	1.67E-06
645	1.75E-06
645	1.71E-06
646	1.54E-06
646	1.55E-06
647	1.53E-06
647	1.49E-06
648	1.46E-06
648	1.41E-06
649	1.31E-06
649	1.25E-06
650	1.19E-06
650	1.20E-06
651	1.12E-06
651	1.11E-06
652	1.03E-06
652	9.73E-07
653	9.09E-07
653	8.24E-07
654	8.33E-07
654	7.06E-07
655	6.83E-07
655	6.37E-07
656	5.89E-07
656	5.12E-07
657	5.51E-07
657	5.12E-07
658	5.08E-07
658	4.72E-07
659	4.87E-07
659	4.22E-07
660	4.64E-07
660	4.15E-07
661	3.86E-07
662	4.04E-07
662	3.91E-07
663	3.50E-07
663	3.09E-07
664	2.53E-07
664	2.39E-07
665	2.25E-07
665	2.23E-07
666	2.04E-07
666	1.79E-07
667	1.46E-07
667	1.39E-07
668	1.16E-07
668	9.62E-08
669	8.91E-08
669	6.35E-08
670	4.91E-08
670	2.78E-08
671	1.48E-08
671	9.85E-09
672	2.51E-08
672	4.06E-08
673	4.99E-08
673	7.43E-08
674	7.37E-08
674	8.55E-08
675	8.27E-08
675	7.07E-08
676	5.70E-08
676	4.35E-08
677	3.52E-08
677	2.51E-08
678	1.89E-08
678	2.20E-08
679	3.13E-08
679	2.96E-08
680	3.70E-08
680	4.65E-08
681	4.78E-08
681	4.61E-08
682	5.32E-08
682	6.49E-08
683	5.87E-08
684	6.56E-08
684	6.66E-08
685	6.16E-08
685	6.78E-08
686	6.66E-08
686	7.75E-08
687	8.09E-08
687	7.81E-08
688	7.05E-08
688	7.77E-08
689	8.62E-08
689	8.07E-08
690	7.07E-08
690	7.71E-08
691	8.83E-08
691	8.38E-08
692	8.60E-08
692	8.20E-08
693	9.34E-08
693	9.76E-08
694	9.22E-08
694	8.62E-08
695	7.40E-08
695	8.60E-08
696	8.66E-08
696	7.56E-08
697	1.04E-07
697	1.03E-07
698	9.42E-08
698	9.46E-08
699	8.74E-08
699	1.24E-07
700	9.93E-08
700	1.08E-07
701	1.02E-07
701	1.16E-07
702	1.31E-07
702	1.32E-07
703	1.01E-07
703	1.26E-07
704	1.46E-07
705	1.37E-07
705	1.20E-07
706	1.64E-07
706	1.48E-07
707	1.83E-07
707	1.47E-07
708	1.61E-07
708	1.76E-07
709	1.64E-07
709	1.45E-07
710	1.99E-07
710	1.85E-07
711	2.00E-07
711	2.24E-07
712	2.07E-07
712	2.02E-07
713	1.96E-07
713	1.89E-07
714	1.87E-07
714	1.82E-07
715	1.85E-07
715	1.67E-07
716	1.63E-07
716	1.59E-07
717	1.63E-07
717	1.39E-07
718	1.33E-07
718	1.30E-07
719	1.04E-07
719	1.07E-07
720	9.68E-08
720	8.84E-08
721	9.01E-08
721	6.73E-08
722	6.60E-08
722	5.08E-08
723	5.41E-08
723	3.90E-08
724	3.71E-08
724	2.90E-08
725	2.53E-08
726	2.30E-08
726	1.78E-08
727	1.65E-08
727	2.12E-08
728	2.78E-08
728	3.05E-08
729	4.15E-08
729	3.88E-08
730	4.52E-08
730	4.12E-08
731	6.93E-08
731	6.13E-08
732	6.43E-08
732	7.20E-08
733	7.02E-08
733	6.96E-08
734	7.40E-08
734	8.50E-08
735	8.51E-08
735	9.24E-08
736	7.60E-08
736	6.49E-08
737	7.00E-08
737	9.31E-08
738	8.23E-08
738	6.36E-08
739	7.69E-08
739	3.80E-08
740	7.74E-08
740	9.64E-08
741	5.23E-08
741	4.52E-08
742	8.57E-08
742	3.80E-08
743	7.41E-08
743	9.43E-08
744	4.27E-08
744	2.42E-08
745	1.50E-08
745	3.34E-08
746	2.78E-08
746	4.69E-08
747	3.80E-08
748	4.69E-08
748	3.69E-08
749	5.68E-08
749	6.24E-08
750	2.87E-08
750	4.89E-08
751	5.45E-08
751	7.25E-08
752	5.11E-08
752	7.20E-08
753	6.26E-08
753	5.28E-08
754	8.46E-08
754	1.18E-07
755	1.13E-07
755	7.76E-08
756	3.02E-07
756	2.75E-07
757	3.68E-07
757	3.81E-07
758	2.92E-07
758	2.95E-07
759	4.04E-07
759	3.78E-07
760	4.01E-07
760	4.99E-07
761	5.07E-07
761	5.60E-07
762	6.39E-07
762	7.71E-07
763	7.17E-07
763	9.36E-07
764	9.20E-07
764	8.97E-07
765	9.61E-07
765	1.01E-06
766	1.03E-06
766	1.09E-06
767	1.19E-06
767	1.15E-06
768	1.12E-06
769	1.35E-06
769	1.27E-06
770	1.41E-06
770	1.16E-06
771	1.29E-06
771	1.33E-06
772	1.33E-06
772	1.26E-06
773	1.20E-06
773	1.24E-06
774	1.17E-06
774	1.15E-06
775	1.06E-06
775	1.00E-06
776	9.31E-07
776	8.36E-07
777	8.11E-07
777	7.95E-07
778	7.02E-07
778	7.55E-07
779	6.73E-07
779	6.82E-07
780	6.83E-07
780	5.77E-07
781	4.84E-07
781	5.06E-07
782	3.96E-07
782	3.66E-07
783	4.07E-07
783	3.60E-07
784	3.00E-07
784	3.25E-07
785	3.46E-07
785	3.28E-07
786	3.39E-07
786	3.26E-07
787	3.40E-07
787	3.76E-07
788	3.65E-07
788	3.63E-07
789	3.57E-07
790	3.61E-07
790	4.10E-07
791	3.59E-07
791	3.40E-07
792	3.73E-07
792	3.26E-07
793	3.52E-07
793	3.45E-07
794	3.21E-07
794	3.36E-07
795	3.54E-07
795	3.33E-07
796	3.30E-07
796	3.70E-07
797	3.13E-07
797	2.92E-07
798	3.09E-07
798	2.68E-07
799	2.25E-07
799	2.64E-07
800	2.48E-07
800	2.13E-07
801	2.50E-07
801	2.20E-07
802	1.71E-07
802	1.65E-07
803	1.70E-07
803	1.47E-07
804	1.35E-07
804	1.17E-07
805	1.19E-07
805	1.06E-07
806	8.52E-08
806	1.05E-07
807	6.52E-08
807	6.38E-08
808	7.55E-08
808	6.00E-08
809	6.04E-08
809	5.93E-08
810	5.85E-08
810	6.06E-08
811	5.75E-08
812	7.17E-08
812	4.98E-08
813	5.32E-08
813	3.12E-08
814	4.06E-08
814	3.26E-08
815	4.15E-08
815	2.68E-08
816	2.87E-08
816	3.77E-08
817	4.79E-08
817	2.91E-08
