Frequency - Plot 0	Amplitude - Plot 0
476	1.90E-05
477	2.05E-05
477	2.08E-05
478	2.19E-05
478	2.33E-05
479	2.48E-05
479	2.49E-05
480	2.57E-05
480	2.74E-05
481	2.86E-05
481	2.99E-05
482	3.17E-05
482	3.47E-05
483	3.37E-05
483	3.56E-05
484	3.91E-05
484	3.92E-05
485	4.35E-05
485	5.16E-05
486	5.11E-05
486	5.39E-05
487	5.77E-05
487	6.42E-05
488	6.63E-05
488	7.21E-05
489	8.44E-05
489	8.87E-05
490	9.56E-05
490	0.000108901
491	0.000116177
492	0.00012717
492	0.000150149
493	0.000172614
493	0.000200105
494	0.000227742
494	0.000276183
495	0.000332197
495	0.000381808
496	0.000508582
496	0.000675711
497	0.000866423
497	0.00121983
498	0.00183821
498	0.00291452
499	0.00564576
499	0.0157883
500	0.12144
500	0.198518
501	0.0188072
501	0.00639883
502	0.00311733
502	0.00187653
503	0.00126578
503	0.000903281
504	0.000658301
504	0.000520398
505	0.000418163
505	0.000323006
506	0.000272007
506	0.000229594
507	0.000189671
507	0.000168468
508	0.000147184
508	0.00012482
509	0.00011028
509	9.48E-05
510	8.62E-05
510	7.77E-05
511	6.87E-05
511	6.45E-05
512	5.77E-05
513	5.04E-05
513	4.63E-05
514	4.23E-05
514	3.89E-05
515	3.91E-05
515	3.26E-05
516	3.01E-05
516	2.75E-05
517	2.58E-05
517	2.37E-05
518	2.19E-05
518	2.07E-05
519	1.98E-05
519	1.82E-05
520	1.70E-05
520	1.59E-05
521	1.49E-05
521	1.39E-05
522	1.32E-05
522	1.27E-05
523	1.23E-05
523	1.12E-05
524	1.07E-05
524	9.90E-06
525	9.39E-06
525	8.82E-06
526	8.61E-06
526	8.36E-06
527	7.89E-06
527	7.49E-06
528	7.02E-06
528	6.63E-06
529	6.33E-06
529	6.10E-06
530	6.10E-06
530	5.76E-06
531	5.32E-06
531	5.12E-06
532	4.73E-06
532	4.58E-06
533	4.34E-06
534	4.12E-06
534	3.88E-06
535	3.69E-06
535	3.57E-06
536	3.26E-06
536	3.17E-06
537	2.98E-06
537	2.89E-06
538	2.71E-06
538	2.57E-06
539	2.42E-06
539	2.22E-06
540	2.15E-06
540	2.04E-06
541	2.06E-06
541	1.92E-06
542	1.81E-06
542	1.59E-06
543	1.57E-06
543	1.50E-06
544	1.38E-06
544	1.39E-06
545	1.41E-06
545	1.27E-06
546	1.27E-06
546	1.20E-06
547	1.20E-06
547	1.20E-06
548	1.13E-06
548	1.09E-06
549	1.09E-06
549	1.08E-06
550	1.00E-06
550	9.13E-07
551	8.95E-07
551	8.82E-07
552	8.81E-07
552	8.05E-07
553	8.02E-07
553	6.72E-07
554	7.08E-07
554	6.61E-07
555	5.94E-07
556	5.88E-07
556	5.44E-07
557	5.25E-07
557	4.61E-07
558	4.48E-07
558	3.92E-07
559	3.61E-07
559	3.49E-07
560	3.30E-07
560	3.21E-07
561	2.79E-07
561	2.48E-07
562	2.51E-07
562	2.11E-07
563	1.95E-07
563	1.72E-07
564	1.62E-07
564	1.33E-07
565	1.12E-07
565	1.01E-07
566	7.95E-08
566	6.08E-08
567	4.59E-08
567	2.77E-08
568	3.43E-08
568	4.93E-08
569	6.38E-08
569	8.05E-08
570	9.55E-08
570	1.24E-07
571	1.34E-07
571	1.57E-07
572	1.81E-07
572	1.99E-07
573	2.19E-07
573	2.22E-07
574	2.47E-07
